trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-65.68924495184302,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-115.22723293215421,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-79.14825289976349,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-73.49083253449542,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-197.7554552511472,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-108.1504248137222,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-100.77167748072715,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-53.480242906618045,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,4,-44.15395073853412,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-47.58312104203509,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,4.416596799861684,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,6,-34.87799991802046,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,19.514822163218025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-46.87363644186695,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-29.035672600631877,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,-40.86687534239045,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,14,13.582899148456757,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-12.257319720808589,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,23.731582125522788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,9.962810722224472,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0.0}",20,7,26.22163375785991,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0.0}",25,8,-44.539945405122445,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0.0}",20,12,1.9681027379847498,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0.0}",20,7,3.286278127897247,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0.0}",25,18,12.240869188303094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0.0}",30,11,31.896101717721216,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0.0}",25,16,19.053334592313995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0.0}",30,16,-21.47910677582071,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 0.0}",30,0,44.59471163028939,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0.0}",20,13,13.660818212790945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
