trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.995}",25,0,-129.85836765922903,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.99}",25,0,-98.31998549831866,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.985}",20,2,-116.26194879061376,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.98}",25,0,-122.19302931052857,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.975}",25,0,-176.40713387782273,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.3, 'e': 0.97}",20,0,-87.11326540913663,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.965}",25,0,-71.53112631697775,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.96}",25,0,-89.21071912757061,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.955}",20,0,-72.77484696839075,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.95}",25,0,-63.05215573711811,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.945}",20,0,-67.9475207506473,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.94}",20,0,-103.90596610513411,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.9349999999999999}",20,0,-67.9081903934148,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.9299999999999999}",25,0,-163.3064389597292,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.3, 'e': 0.9249999999999999}",20,0,-166.06417903790566,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
