trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-162.55504122999292,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,13,-92.64270473618606,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-62.248916522745276,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-93.60281076874602,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-146.83283065196403,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,4,-100.14524761646587,"{0: 11, 1: 1, 2: 7, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-78.28160602026249,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-53.997900287176854,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-63.051659536513725,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-93.70668274959539,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-162.2603192946765,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-128.5125080617014,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-72.60319587811212,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,-22.7131811469993,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-143.42795101046022,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,-40.88592238882851,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-63.31960014697981,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-134.30560423239214,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,-67.72369658400531,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-101.9111588210561,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0.0}",30,0,-152.87871615555872,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 0.0}",25,0,-185.57384377908986,"{0: 12, 1: 7, 2: 2, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 0.0}",20,0,-164.61274707553443,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 0.0}",25,0,-139.052000887453,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 0.0}",20,0,-95.98716646607272,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 0.0}",20,0,-71.65310758631921,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 0.0}",35,0,-227.7503148908998,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 0.0}",25,0,-73.87194927271499,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0.0}",30,0,-76.88355370818495,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0.0}",20,0,-98.6458697339777,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
